Datum,Viral_Pot,Value_Infectious,Free_Viral,Viralität_in_Proz,Viralität_pro_X,Dunkelziffer,Menschen_mit_Viruskontakt,Geimpfte,Viral_Pot_Plus,Value_Infectious_Plus,Free_Viral_Plus,Viralität_in_Proz_Plus,Viralität_pro_X_Plus,Dunkelziffer_Plus,Menschen_mit_Viruskontakt_Plus,Geimpfte_Plus,Viral_Pot_Opt,Value_Infectious_Opt,Free_Viral_Opt,Viralität_in_Proz_Opt,Viralität_pro_X_Opt,Dunkelziffer_Opt,Menschen_mit_Viruskontakt_Opt,Geimpfte_Opt,Viral_Pot_Pess,Value_Infectious_Pess,Free_Viral_Pess,Viralität_in_Proz_Pess,Viralität_pro_X_Pess,Dunkelziffer_Pess,Menschen_mit_Viruskontakt_Pess,Geimpfte_Pess
2020-03-04,3783.99539999999888095772,2.1176470588235296e-05,3692.48914999999897190719,0.04344104882352940039,0.00173764195294117611,11.25534565619223137389,326.73043439795577569384,0.00000000000000000000,3783.99539999999888095772,2.1176470588235296e-05,3692.48914999999897190719,0.04344104882352940039,0.00173764195294117611,11.25534565619223137389,326.73043439795577569384,0.00000000000000000000,3783.99539999999888095772,2.1176470588235296e-05,3692.48914999999897190719,0.04344104882352940039,0.00173764195294117611,11.25534565619223137389,326.73043439795577569384,0.00000000000000000000,3783.99539999999888095772,2.1176470588235296e-05,3692.48914999999897190719,0.04344104882352940039,0.00173764195294117611,11.25534565619223137389,326.73043439795577569384,0.00000000000000000000
2020-03-05,4980.59999999999854480848,2.835294117647059e-05,4844.47499999999854480848,0.05699382352941174956,0.00227975294117647000,9.51294693877550656680,279.21424284733024023808,0.00000000000000000000,4980.59999999999854480848,2.835294117647059e-05,4844.47499999999854480848,0.05699382352941174956,0.00227975294117647000,9.51294693877550656680,279.21424284733024023808,0.00000000000000000000,4980.59999999999854480848,2.835294117647059e-05,4844.47499999999854480848,0.05699382352941174956,0.00227975294117647000,9.51294693877550656680,279.21424284733024023808,0.00000000000000000000,4980.59999999999854480848,2.835294117647059e-05,4844.47499999999854480848,0.05699382352941174956,0.00227975294117647000,9.51294693877550656680,279.21424284733024023808,0.00000000000000000000
2020-03-06,6867.86579999999776191544,3.6941176470588235e-05,6686.36579999999776191544,0.07866312705882350098,0.00314652508235293985,8.96413071895424451441,187.23055110911698761811,0.00000000000000000000,6867.86579999999776191544,3.6941176470588235e-05,6686.36579999999776191544,0.07866312705882350098,0.00314652508235293985,8.96413071895424451441,187.23055110911698761811,0.00000000000000000000,6867.86579999999776191544,3.6941176470588235e-05,6686.36579999999776191544,0.07866312705882350098,0.00314652508235293985,8.96413071895424451441,187.23055110911698761811,0.00000000000000000000,6867.86579999999776191544,3.6941176470588235e-05,6686.36579999999776191544,0.07866312705882350098,0.00314652508235293985,8.96413071895424451441,187.23055110911698761811,0.00000000000000000000
2020-03-07,8879.99879999999575375114,4.270588235294118e-05,8646.31754999999611754902,0.10172138294117641366,0.00406885531764705679,10.55502346570396632330,141.65528840534847176968,0.00000000000000000000,8879.99879999999575375114,4.270588235294118e-05,8646.31754999999611754902,0.10172138294117641366,0.00406885531764705679,10.55502346570396632330,141.65528840534847176968,0.00000000000000000000,8879.99879999999575375114,4.270588235294118e-05,8646.31754999999611754902,0.10172138294117641366,0.00406885531764705679,10.55502346570396632330,141.65528840534847176968,0.00000000000000000000,8879.99879999999575375114,4.270588235294118e-05,8646.31754999999611754902,0.10172138294117641366,0.00406885531764705679,10.55502346570396632330,141.65528840534847176968,0.00000000000000000000
2020-03-08,11173.08699999999407737050,5.0705882352941176e-05,10909.91199999999480496626,0.12835190588235287357,0.00513407623529411536,10.88485895627643884609,183.02490421266702469438,0.00000000000000000000,11173.08699999999407737050,5.0705882352941176e-05,10909.91199999999480496626,0.12835190588235287357,0.00513407623529411536,10.88485895627643884609,183.02490421266702469438,0.00000000000000000000,11173.08699999999407737050,5.0705882352941176e-05,10909.91199999999480496626,0.12835190588235287357,0.00513407623529411536,10.88485895627643884609,183.02490421266702469438,0.00000000000000000000,11173.08699999999407737050,5.0705882352941176e-05,10909.91199999999480496626,0.12835190588235287357,0.00513407623529411536,10.88485895627643884609,183.02490421266702469438,0.00000000000000000000
2020-03-09,13353.02359999999134743121,7.341176470588235e-05,13043.71734999999171122909,0.15345549823529400224,0.00613821992941175967,11.25734920634919866700,230.11255698390203860981,0.00000000000000000000,13353.02359999999134743121,7.341176470588235e-05,13043.71734999999171122909,0.15345549823529400224,0.00613821992941175967,11.25734920634919866700,230.11255698390203860981,0.00000000000000000000,13353.02359999999134743121,7.341176470588235e-05,13043.71734999999171122909,0.15345549823529400224,0.00613821992941175967,11.25734920634919866700,230.11255698390203860981,0.00000000000000000000,13353.02359999999134743121,7.341176470588235e-05,13043.71734999999171122909,0.15345549823529400224,0.00613821992941175967,11.25734920634919866700,230.11255698390203860981,0.00000000000000000000
2020-03-10,14768.07599999999001738615,9.823529411764706e-05,14320.37599999998928979039,0.16847501176470575102,0.00673900047058823004,10.44674200913241257638,280.81564217974874964057,0.00000000000000000000,14768.07599999999001738615,9.823529411764706e-05,14320.37599999998928979039,0.16847501176470575102,0.00673900047058823004,10.44674200913241257638,280.81564217974874964057,0.00000000000000000000,14768.07599999999001738615,9.823529411764706e-05,14320.37599999998928979039,0.16847501176470575102,0.00673900047058823004,10.44674200913241257638,280.81564217974874964057,0.00000000000000000000,14768.07599999999001738615,9.823529411764706e-05,14320.37599999998928979039,0.16847501176470575102,0.00673900047058823004,10.44674200913241257638,280.81564217974874964057,0.00000000000000000000
2020-03-11,20300.12359999998807325028,0.0001375294117647059,19702.68609999998807325028,0.23179630705882336983,0.00927185228235293500,9.85770093457943197279,259.27346299074997659773,0.00000000000000000000,20300.12359999998807325028,0.0001375294117647059,19702.68609999998807325028,0.23179630705882336983,0.00927185228235293500,9.85770093457943197279,259.27346299074997659773,0.00000000000000000000,20300.12359999998807325028,0.0001375294117647059,19702.68609999998807325028,0.23179630705882336983,0.00927185228235293500,9.85770093457943197279,259.27346299074997659773,0.00000000000000000000,20300.12359999998807325028,0.0001375294117647059,19702.68609999998807325028,0.23179630705882336983,0.00927185228235293500,9.85770093457943197279,259.27346299074997659773,0.00000000000000000000
2020-03-12,25733.53139999998165876605,0.00017964705882352942,24891.82514999998238636181,0.29284500176470562582,0.01171380007058822441,8.99937228786250642543,231.66952011047982296077,0.00000000000000000000,25733.53139999998165876605,0.00017964705882352942,24891.82514999998238636181,0.29284500176470562582,0.01171380007058822441,8.99937228786250642543,231.66952011047982296077,0.00000000000000000000,25733.53139999998165876605,0.00017964705882352942,24891.82514999998238636181,0.29284500176470562582,0.01171380007058822441,8.99937228786250642543,231.66952011047982296077,0.00000000000000000000,25733.53139999998165876605,0.00017964705882352942,24891.82514999998238636181,0.29284500176470562582,0.01171380007058822441,8.99937228786250642543,231.66952011047982296077,0.00000000000000000000
2020-03-13,31993.02999999997700797394,0.00023047058823529411,30904.02999999997700797394,0.36357682352941150805,0.01454307294117646032,8.04036202488494389229,184.95187491057157558316,0.00000000000000000000,31993.02999999997700797394,0.00023047058823529411,30904.02999999997700797394,0.36357682352941150805,0.01454307294117646032,8.04036202488494389229,184.95187491057157558316,0.00000000000000000000,31993.02999999997700797394,0.00023047058823529411,30904.02999999997700797394,0.36357682352941150805,0.01454307294117646032,8.04036202488494389229,184.95187491057157558316,0.00000000000000000000,31993.02999999997700797394,0.00023047058823529411,30904.02999999997700797394,0.36357682352941150805,0.01454307294117646032,8.04036202488494389229,184.95187491057157558316,0.00000000000000000000
